Feature Name,Segmentation_segment_head_standard,Segmentation_segment_head_potology,abs_difference
Energy,347305063854.0,1618130912889.0,1270825849035.0
TotalEnergy,9377236724.058004,12945047303.112003,3567810579.053999
LargeAreaHighGrayLevelEmphasis,1277799.3521061845,20918885.394256614,19641086.04215043
ClusterProminence,2087497.8236446003,5608665.668279499,3521167.8446348985
VoxelNum,665915,1885915,1220000.0
RunLengthNonUniformity,500651.1167123552,1385536.572936258,884885.4562239029
DependenceNonUniformity,99926.42097414835,274008.4562554516,174082.03528130325
Variance,159932.62105733494,282683.06702738884,122750.4459700539
SizeZoneNonUniformity,84936.82090445067,160319.9198294465,75383.09892499584
LargeDependenceHighGrayLevelEmphasis,42533.38045246015,60632.29925261743,18098.918800157277
GrayLevelNonUniformity,11901.701056441138,28182.086774324398,16280.38571788326
GrayLevelNonUniformity,10884.780531574108,25119.142880970143,14234.362349396035
ClusterShade,6828.821631831845,17067.12682480223,10238.305192970387
Maximum,13056.0,3095.0,9961.0
LargeAreaEmphasis,591.6355474706664,3777.8080956295103,3186.1725481588437
ZoneVariance,580.9744245035156,3759.5714568516114,3178.597032348096
MeshVolume,17974.517624999273,15025.722000000671,2948.795624998602
VoxelVolume,17979.705000000005,15087.320000000003,2892.385000000002
SurfaceArea,8812.030558368027,11678.125495116354,2866.0949367483263
GrayLevelNonUniformity,4415.068213800644,7230.2605605258805,2815.1923467252363
LongRunHighGrayLevelEmphasis,2755.973666506043,4126.0847770318815,1370.1111105258383
Complexity,5900.966601434487,7251.205797511133,1350.2391960766463
HighGrayLevelEmphasis,1902.1813444658853,2839.668824416795,937.4874799509096
HighGrayLevelRunEmphasis,1882.2079872654188,2809.6346635458567,927.426676280438
Autocorrelation,1935.7134642469732,2852.350018923592,916.6365546766187
HighGrayLevelZoneEmphasis,1749.5978955316823,2625.519411441032,875.9215159093496
ShortRunHighGrayLevelEmphasis,1737.0959692874565,2577.328070372504,840.2321010850476
ClusterTendency,979.0302508453933,1799.04701258554,820.0167617401466
SmallAreaHighGrayLevelEmphasis,1161.884298009946,1669.6038192210128,507.7195212110669
90Percentile,1165.0,1503.0,338.0
InterquartileRange,656.0,969.0,313.0
Range,2152.0,2456.0,304.0
Maximum,1761.0,2017.0,256.0
RootMeanSquared,722.1811673592684,926.2874287379088,204.1062613786404
SumSquares,255.25108663577578,457.49301293614906,202.24192630037328
Mean,-757.5032671498664,-558.4072434057805,199.09602374408587
GrayLevelVariance,256.0080552976684,452.3673538697709,196.3592985721025
GrayLevelVariance,246.40142676382283,439.5033102130995,193.10188344927667
Mean,601.3426788704264,758.5020327003073,157.15935382988084
MeanAbsoluteDeviation,340.24916692893214,471.950375535501,131.70120860656885
RobustMeanAbsoluteDeviation,262.80790925737006,387.6658247602262,124.85791550285614
Median,571.0,683.0,112.0
GrayLevelVariance,171.59651043553106,278.8460825949004,107.24957215936934
SmallDependenceHighGrayLevelEmphasis,493.5195493474844,597.7981477361996,104.27859838871512
Minimum,-391.0,-439.0,48.0
MajorAxisLength,118.2176012270483,97.39586211448928,20.82173911255903
Maximum3DDiameter,118.48936661152342,101.0324700282043,17.45689658331912
